
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 32 | train_loss: 0.0864:  64%|██████▍   | 32/50 [26:55<14:33, 48.53s/it]
Epoch 32 | train_loss: 0.0864:  66%|██████▌   | 33/50 [26:55<13:53, 49.02s/it]
Epoch 33 | train_loss: 0.2048:  66%|██████▌   | 33/50 [27:44<13:53, 49.02s/it]
Epoch 33 | train_loss: 0.2048:  68%|██████▊   | 34/50 [27:44<13:04, 49.04s/it]
Epoch 34 | train_loss: 0.2019:  68%|██████▊   | 34/50 [28:34<13:04, 49.04s/it]
Epoch 34 | train_loss: 0.2019:  70%|███████   | 35/50 [28:34<12:22, 49.47s/it]
Epoch 35 | train_loss: 0.1157:  70%|███████   | 35/50 [29:25<12:22, 49.47s/it]
Epoch 35 | train_loss: 0.1157:  72%|███████▏  | 36/50 [29:25<11:36, 49.72s/it]
Epoch 36 | train_loss: 0.1311:  72%|███████▏  | 36/50 [30:16<11:36, 49.72s/it]
Epoch 36 | train_loss: 0.1311:  74%|███████▍  | 37/50 [30:16<10:51, 50.15s/it]
Epoch 37 | train_loss: 0.1222:  74%|███████▍  | 37/50 [31:04<10:51, 50.15s/it]
Epoch 37 | train_loss: 0.1222:  76%|███████▌  | 38/50 [31:04<09:56, 49.68s/it]
Epoch 38 | train_loss: 0.0926:  76%|███████▌  | 38/50 [31:56<09:56, 49.68s/it]
Epoch 38 | train_loss: 0.0926:  78%|███████▊  | 39/50 [31:56<09:12, 50.27s/it]
Epoch 39 | train_loss: 0.0743:  78%|███████▊  | 39/50 [32:46<09:12, 50.27s/it]
Epoch 39 | train_loss: 0.0743:  80%|████████  | 40/50 [32:46<08:22, 50.23s/it]
Epoch 40 | train_loss: 0.1258:  80%|████████  | 40/50 [33:36<08:22, 50.23s/it]
Epoch 40 | train_loss: 0.1258:  82%|████████▏ | 41/50 [33:36<07:31, 50.22s/it]
Epoch 41 | train_loss: 0.0778:  82%|████████▏ | 41/50 [34:26<07:31, 50.22s/it]
Epoch 41 | train_loss: 0.0778:  84%|████████▍ | 42/50 [34:26<06:41, 50.15s/it]
Epoch 42 | train_loss: 0.0822:  84%|████████▍ | 42/50 [35:18<06:41, 50.15s/it]
Epoch 42 | train_loss: 0.0822:  86%|████████▌ | 43/50 [35:18<05:53, 50.51s/it]
Epoch 43 | train_loss: 0.0991:  86%|████████▌ | 43/50 [36:08<05:53, 50.51s/it]
Epoch 43 | train_loss: 0.0991:  88%|████████▊ | 44/50 [36:08<05:03, 50.56s/it]
Epoch 44 | train_loss: 0.1051:  88%|████████▊ | 44/50 [36:58<05:03, 50.56s/it]
Epoch 44 | train_loss: 0.1051:  90%|█████████ | 45/50 [36:58<04:11, 50.20s/it]
Epoch 45 | train_loss: 0.0691:  90%|█████████ | 45/50 [37:48<04:11, 50.20s/it]
Epoch 45 | train_loss: 0.0691:  92%|█████████▏| 46/50 [37:48<03:21, 50.27s/it]
Epoch 46 | train_loss: 0.0980:  92%|█████████▏| 46/50 [38:39<03:21, 50.27s/it]
Epoch 46 | train_loss: 0.0980:  94%|█████████▍| 47/50 [38:39<02:31, 50.47s/it]
Epoch 47 | train_loss: 0.0950:  94%|█████████▍| 47/50 [39:31<02:31, 50.47s/it]
Epoch 47 | train_loss: 0.0950:  96%|█████████▌| 48/50 [39:31<01:41, 50.79s/it]
Epoch 48 | train_loss: 0.1601:  96%|█████████▌| 48/50 [40:22<01:41, 50.79s/it]
Epoch 48 | train_loss: 0.1601:  98%|█████████▊| 49/50 [40:22<00:50, 50.92s/it]
Epoch 49 | train_loss: 0.0682:  98%|█████████▊| 49/50 [41:13<00:50, 50.92s/it]
Epoch 49 | train_loss: 0.0682: 100%|██████████| 50/50 [41:13<00:00, 50.90s/it]
Epoch 49 | train_loss: 0.0682: 100%|██████████| 50/50 [41:13<00:00, 49.47s/it]
