
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 32 | train_loss: 0.0206:  64%|██████▍   | 32/50 [37:45<20:38, 68.83s/it]
Epoch 32 | train_loss: 0.0206:  66%|██████▌   | 33/50 [37:45<19:34, 69.06s/it]
Epoch 33 | train_loss: 0.0199:  66%|██████▌   | 33/50 [38:53<19:34, 69.06s/it]
Epoch 33 | train_loss: 0.0199:  68%|██████▊   | 34/50 [38:53<18:18, 68.67s/it]
Epoch 34 | train_loss: 0.0237:  68%|██████▊   | 34/50 [40:02<18:18, 68.67s/it]
Epoch 34 | train_loss: 0.0237:  70%|███████   | 35/50 [40:02<17:12, 68.80s/it]
Epoch 35 | train_loss: 0.0201:  70%|███████   | 35/50 [41:11<17:12, 68.80s/it]
Epoch 35 | train_loss: 0.0201:  72%|███████▏  | 36/50 [41:11<16:02, 68.73s/it]
Epoch 36 | train_loss: 0.0176:  72%|███████▏  | 36/50 [42:19<16:02, 68.73s/it]
Epoch 36 | train_loss: 0.0176:  74%|███████▍  | 37/50 [42:19<14:52, 68.66s/it]
Epoch 37 | train_loss: 0.0164:  74%|███████▍  | 37/50 [43:28<14:52, 68.66s/it]
Epoch 37 | train_loss: 0.0164:  76%|███████▌  | 38/50 [43:28<13:45, 68.82s/it]
Epoch 38 | train_loss: 0.0203:  76%|███████▌  | 38/50 [44:37<13:45, 68.82s/it]
Epoch 38 | train_loss: 0.0203:  78%|███████▊  | 39/50 [44:37<12:38, 68.92s/it]
Epoch 39 | train_loss: 0.0237:  78%|███████▊  | 39/50 [45:45<12:38, 68.92s/it]
Epoch 39 | train_loss: 0.0237:  80%|████████  | 40/50 [45:45<11:24, 68.50s/it]
Epoch 40 | train_loss: 0.0194:  80%|████████  | 40/50 [46:54<11:24, 68.50s/it]
Epoch 40 | train_loss: 0.0194:  82%|████████▏ | 41/50 [46:54<10:17, 68.56s/it]
Epoch 41 | train_loss: 0.0168:  82%|████████▏ | 41/50 [48:02<10:17, 68.56s/it]
Epoch 41 | train_loss: 0.0168:  84%|████████▍ | 42/50 [48:02<09:07, 68.41s/it]
