
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 32 | train_loss: 0.1180:  64%|██████▍   | 32/50 [27:03<15:05, 50.32s/it]
Epoch 32 | train_loss: 0.1180:  66%|██████▌   | 33/50 [27:03<14:26, 50.96s/it]
Epoch 33 | train_loss: 0.2265:  66%|██████▌   | 33/50 [27:54<14:26, 50.96s/it]
Epoch 33 | train_loss: 0.2265:  68%|██████▊   | 34/50 [27:54<13:36, 51.01s/it]
Epoch 34 | train_loss: 0.2299:  68%|██████▊   | 34/50 [28:44<13:36, 51.01s/it]
Epoch 34 | train_loss: 0.2299:  70%|███████   | 35/50 [28:44<12:38, 50.56s/it]
Epoch 35 | train_loss: 0.1344:  70%|███████   | 35/50 [29:33<12:38, 50.56s/it]
Epoch 35 | train_loss: 0.1344:  72%|███████▏  | 36/50 [29:33<11:39, 49.95s/it]
Epoch 36 | train_loss: 0.1478:  72%|███████▏  | 36/50 [30:21<11:39, 49.95s/it]
Epoch 36 | train_loss: 0.1478:  74%|███████▍  | 37/50 [30:21<10:44, 49.56s/it]
Epoch 37 | train_loss: 0.1328:  74%|███████▍  | 37/50 [31:11<10:44, 49.56s/it]
Epoch 37 | train_loss: 0.1328:  76%|███████▌  | 38/50 [31:11<09:54, 49.54s/it]
Epoch 38 | train_loss: 0.1120:  76%|███████▌  | 38/50 [32:01<09:54, 49.54s/it]
Epoch 38 | train_loss: 0.1120:  78%|███████▊  | 39/50 [32:01<09:06, 49.64s/it]
Epoch 39 | train_loss: 0.1082:  78%|███████▊  | 39/50 [32:50<09:06, 49.64s/it]
Epoch 39 | train_loss: 0.1082:  80%|████████  | 40/50 [32:50<08:16, 49.64s/it]
Epoch 40 | train_loss: 0.1250:  80%|████████  | 40/50 [33:39<08:16, 49.64s/it]
Epoch 40 | train_loss: 0.1250:  82%|████████▏ | 41/50 [33:39<07:23, 49.33s/it]
Epoch 41 | train_loss: 0.0942:  82%|████████▏ | 41/50 [34:27<07:23, 49.33s/it]
Epoch 41 | train_loss: 0.0942:  84%|████████▍ | 42/50 [34:27<06:30, 48.85s/it]
Epoch 42 | train_loss: 0.0937:  84%|████████▍ | 42/50 [35:20<06:30, 48.85s/it]
Epoch 42 | train_loss: 0.0937:  86%|████████▌ | 43/50 [35:20<05:52, 50.34s/it]
Epoch 43 | train_loss: 0.1168:  86%|████████▌ | 43/50 [36:10<05:52, 50.34s/it]
Epoch 43 | train_loss: 0.1168:  88%|████████▊ | 44/50 [36:10<05:01, 50.20s/it]
Epoch 44 | train_loss: 0.1184:  88%|████████▊ | 44/50 [37:00<05:01, 50.20s/it]
Epoch 44 | train_loss: 0.1184:  90%|█████████ | 45/50 [37:00<04:11, 50.21s/it]
Epoch 45 | train_loss: 0.0914:  90%|█████████ | 45/50 [37:51<04:11, 50.21s/it]
Epoch 45 | train_loss: 0.0914:  92%|█████████▏| 46/50 [37:51<03:21, 50.33s/it]
Epoch 46 | train_loss: 0.1047:  92%|█████████▏| 46/50 [38:41<03:21, 50.33s/it]
Epoch 46 | train_loss: 0.1047:  94%|█████████▍| 47/50 [38:41<02:30, 50.20s/it]
Epoch 47 | train_loss: 0.1163:  94%|█████████▍| 47/50 [39:29<02:30, 50.20s/it]
Epoch 47 | train_loss: 0.1163:  96%|█████████▌| 48/50 [39:29<01:39, 49.62s/it]
Epoch 48 | train_loss: 0.1769:  96%|█████████▌| 48/50 [40:19<01:39, 49.62s/it]
Epoch 48 | train_loss: 0.1769:  98%|█████████▊| 49/50 [40:19<00:49, 49.67s/it]
Epoch 49 | train_loss: 0.0837:  98%|█████████▊| 49/50 [41:07<00:49, 49.67s/it]
Epoch 49 | train_loss: 0.0837: 100%|██████████| 50/50 [41:07<00:00, 49.12s/it]
Epoch 49 | train_loss: 0.0837: 100%|██████████| 50/50 [41:07<00:00, 49.35s/it]
